Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/25/20,5/23/20,5/23/20,By week,Georgia,Week-ending,152,"1,881",1.22,146,69,0,229,
9/25/20,5/30/20,5/30/20,By week,Georgia,Week-ending,140,"1,752",1.11,114,46,0,208,
9/25/20,6/6/20,6/6/20,By week,Georgia,Week-ending,117,"1,744",1.12,138,52,,204,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/13/20,6/13/20,By week,Georgia,Week-ending,117,"1,705",1.11,130,55,0,192,
9/25/20,6/20/20,6/20/20,By week,Georgia,Week-ending,94,"1,714",1.1,110,32,0,172,
9/25/20,6/27/20,6/27/20,By week,Georgia,Week-ending,125,"1,759",1.16,119,47,0,197,
9/25/20,7/4/20,7/4/20,By week,Georgia,Week-ending,148,"1,819",1.2,111,53,0,206,
9/25/20,7/11/20,7/11/20,By week,Georgia,Week-ending,213,"1,901",1.24,158,93,0,278,
9/25/20,7/18/20,7/18/20,By week,Georgia,Week-ending,287,"2,076",1.33,202,128,0,361,
9/25/20,7/25/20,7/25/20,By week,Georgia,Week-ending,358,"2,059",1.33,233,159,,432,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/1/20,8/1/20,By week,Georgia,Week-ending,394,"2,047",1.33,243,174,0,463,
9/25/20,8/8/20,8/8/20,By week,Georgia,Week-ending,441,"2,025",1.32,275,206,0,510,
9/25/20,8/15/20,8/15/20,By week,Georgia,Week-ending,396,"2,057",1.29,293,204,0,485,
9/25/20,8/22/20,8/22/20,By week,Georgia,Week-ending,365,"1,964",1.28,265,189,,442,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/29/20,8/29/20,By week,Georgia,Week-ending,264,"1,727",1.11,221,141,0,344,
9/25/20,9/5/20,9/5/20,By week,Georgia,Week-ending,153,"1,417",0.93,146,83,0,216,
9/25/20,9/12/20,9/12/20,By week,Georgia,Week-ending,98,"1,078",0.69,88,43,,144,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/19/20,9/19/20,By week,Georgia,Week-ending,19,421,0.27,30,,0,40,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/1/20,2/1/20,By week,Hawaii,Week-ending,0,242,1.02,19,0,0,19,
9/25/20,2/8/20,2/8/20,By week,Hawaii,Week-ending,0,235,1.1,20,0,0,20,
9/25/20,2/15/20,2/15/20,By week,Hawaii,Week-ending,0,281,1.16,23,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/22/20,2/22/20,By week,Hawaii,Week-ending,0,249,1.07,17,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/29/20,2/29/20,By week,Hawaii,Week-ending,0,237,1.03,14,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/7/20,3/7/20,By week,Hawaii,Week-ending,0,239,0.95,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/14/20,3/14/20,By week,Hawaii,Week-ending,0,243,0.98,18,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,Hawaii,Week-ending,0,212,0.95,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,Hawaii,Week-ending,0,234,0.98,15,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/4/20,4/4/20,By week,Hawaii,Week-ending,,234,1,14,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Hawaii,Week-ending,,221,0.99,18,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/18/20,4/18/20,By week,Hawaii,Week-ending,,211,1.01,,0,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,Hawaii,Week-ending,,200,0.92,,,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,Hawaii,Week-ending,,222,1.02,18,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/9/20,5/9/20,By week,Hawaii,Week-ending,0,210,0.93,12,0,0,12,
9/25/20,5/16/20,5/16/20,By week,Hawaii,Week-ending,0,230,1.02,13,0,0,13,
9/25/20,5/23/20,5/23/20,By week,Hawaii,Week-ending,0,208,0.94,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/30/20,5/30/20,By week,Hawaii,Week-ending,0,200,0.96,11,0,0,11,
9/25/20,6/6/20,6/6/20,By week,Hawaii,Week-ending,0,217,1.02,11,0,0,11,
9/25/20,6/13/20,6/13/20,By week,Hawaii,Week-ending,0,203,0.85,10,0,0,10,
9/25/20,6/20/20,6/20/20,By week,Hawaii,Week-ending,0,244,1.06,12,0,0,12,
9/25/20,6/27/20,6/27/20,By week,Hawaii,Week-ending,,234,1.09,,0,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/4/20,7/4/20,By week,Hawaii,Week-ending,,206,1,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/11/20,7/11/20,By week,Hawaii,Week-ending,,224,0.98,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/18/20,7/18/20,By week,Hawaii,Week-ending,,204,0.97,12,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/25/20,7/25/20,By week,Hawaii,Week-ending,,218,0.98,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/1/20,8/1/20,By week,Hawaii,Week-ending,,217,1.08,11,0,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/8/20,8/8/20,By week,Hawaii,Week-ending,,229,1.08,12,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/15/20,8/15/20,By week,Hawaii,Week-ending,11,220,1.06,15,,0,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/22/20,8/22/20,By week,Hawaii,Week-ending,10,242,1.17,15,,0,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/29/20,8/29/20,By week,Hawaii,Week-ending,31,250,1.15,26,18,0,39,
9/25/20,9/5/20,9/5/20,By week,Hawaii,Week-ending,22,220,1.05,11,,0,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/12/20,9/12/20,By week,Hawaii,Week-ending,18,233,0.99,21,,0,30,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/19/20,9/19/20,By week,Hawaii,Week-ending,,83,0.39,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/1/20,2/1/20,By week,Idaho,Week-ending,0,249,0.88,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/8/20,2/8/20,By week,Idaho,Week-ending,0,293,1.04,18,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/15/20,2/15/20,By week,Idaho,Week-ending,0,279,0.89,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/22/20,2/22/20,By week,Idaho,Week-ending,0,318,1.1,17,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/29/20,2/29/20,By week,Idaho,Week-ending,0,289,0.99,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/7/20,3/7/20,By week,Idaho,Week-ending,0,278,0.96,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/14/20,3/14/20,By week,Idaho,Week-ending,0,282,1.04,18,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,Idaho,Week-ending,0,308,1.03,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,Idaho,Week-ending,,332,1.27,15,,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/4/20,4/4/20,By week,Idaho,Week-ending,,271,0.94,15,,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Idaho,Week-ending,22,306,1.07,18,,0,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/18/20,4/18/20,By week,Idaho,Week-ending,12,283,1.01,13,,0,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,Idaho,Week-ending,12,262,1.01,15,,0,24,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,Idaho,Week-ending,,252,0.96,14,,0,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/9/20,5/9/20,By week,Idaho,Week-ending,,304,1.17,,,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/16/20,5/16/20,By week,Idaho,Week-ending,,269,0.99,11,,0,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/23/20,5/23/20,By week,Idaho,Week-ending,,261,0.98,11,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/30/20,5/30/20,By week,Idaho,Week-ending,,279,1.03,,0,0,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/6/20,6/6/20,By week,Idaho,Week-ending,,292,1.11,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/13/20,6/13/20,By week,Idaho,Week-ending,,287,1.08,10,,0,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/20/20,6/20/20,By week,Idaho,Week-ending,0,282,1.04,12,0,0,12,
9/25/20,6/27/20,6/27/20,By week,Idaho,Week-ending,,296,1.17,14,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/4/20,7/4/20,By week,Idaho,Week-ending,,281,1.07,15,0,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/11/20,7/11/20,By week,Idaho,Week-ending,14,287,1.11,,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/18/20,7/18/20,By week,Idaho,Week-ending,26,312,1.25,16,,0,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/25/20,7/25/20,By week,Idaho,Week-ending,44,328,1.31,26,22,0,48,
9/25/20,8/1/20,8/1/20,By week,Idaho,Week-ending,48,327,1.32,33,22,0,59,
9/25/20,8/8/20,8/8/20,By week,Idaho,Week-ending,40,311,1.18,22,15,0,47,
9/25/20,8/15/20,8/15/20,By week,Idaho,Week-ending,32,317,1.29,23,12,0,43,
9/25/20,8/22/20,8/22/20,By week,Idaho,Week-ending,56,358,1.41,29,23,0,62,
9/25/20,8/29/20,8/29/20,By week,Idaho,Week-ending,28,323,1.26,24,11,0,41,
9/25/20,9/5/20,9/5/20,By week,Idaho,Week-ending,34,325,1.23,26,14,0,46,
9/25/20,9/12/20,9/12/20,By week,Idaho,Week-ending,20,269,1.04,15,,0,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/19/20,9/19/20,By week,Idaho,Week-ending,,97,0.35,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/1/20,2/1/20,By week,Illinois,Week-ending,0,"2,138",0.97,155,0,16,171,
9/25/20,2/8/20,2/8/20,By week,Illinois,Week-ending,0,"2,231",0.99,157,0,10,167,
9/25/20,2/15/20,2/15/20,By week,Illinois,Week-ending,0,"2,218",1.01,143,0,11,154,
9/25/20,2/22/20,2/22/20,By week,Illinois,Week-ending,0,"2,206",1,143,0,14,157,
9/25/20,2/29/20,2/29/20,By week,Illinois,Week-ending,0,"2,208",1.04,140,0,19,159,
9/25/20,3/7/20,3/7/20,By week,Illinois,Week-ending,0,"2,252",1.06,173,0,27,200,
9/25/20,3/14/20,3/14/20,By week,Illinois,Week-ending,,"2,192",1.03,167,,20,187,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,Illinois,Week-ending,14,"2,281",1.06,170,,22,201,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,Illinois,Week-ending,73,"2,302",1.11,235,44,16,279,
9/25/20,4/4/20,4/4/20,By week,Illinois,Week-ending,296,"2,622",1.25,370,177,,495,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Illinois,Week-ending,471,"2,869",1.38,425,254,,647,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/18/20,4/18/20,By week,Illinois,Week-ending,588,"2,911",1.45,503,323,,773,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,Illinois,Week-ending,674,"3,006",1.5,456,324,,807,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,Illinois,Week-ending,739,"2,947",1.46,529,376,0,892,
9/25/20,5/9/20,5/9/20,By week,Illinois,Week-ending,786,"2,960",1.52,527,396,0,917,
9/25/20,5/16/20,5/16/20,By week,Illinois,Week-ending,696,"2,863",1.45,431,315,,814,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/23/20,5/23/20,By week,Illinois,Week-ending,568,"2,632",1.34,428,300,,697,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/30/20,5/30/20,By week,Illinois,Week-ending,470,"2,544",1.3,301,209,0,562,
9/25/20,6/6/20,6/6/20,By week,Illinois,Week-ending,426,"2,508",1.3,310,203,0,533,
9/25/20,6/13/20,6/13/20,By week,Illinois,Week-ending,318,"2,266",1.2,260,165,0,413,
9/25/20,6/20/20,6/20/20,By week,Illinois,Week-ending,269,"2,250",1.18,207,120,0,356,
9/25/20,6/27/20,6/27/20,By week,Illinois,Week-ending,149,"2,129",1.13,138,54,0,233,
9/25/20,7/4/20,7/4/20,By week,Illinois,Week-ending,146,"2,179",1.15,153,62,0,237,
9/25/20,7/11/20,7/11/20,By week,Illinois,Week-ending,110,"2,187",1.15,152,45,0,217,
9/25/20,7/18/20,7/18/20,By week,Illinois,Week-ending,89,"2,083",1.09,112,33,0,168,
9/25/20,7/25/20,7/25/20,By week,Illinois,Week-ending,80,"2,029",1.08,129,38,,172,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/1/20,8/1/20,By week,Illinois,Week-ending,88,"2,063",1.09,122,37,0,173,
9/25/20,8/8/20,8/8/20,By week,Illinois,Week-ending,96,"2,127",1.13,134,39,0,191,
9/25/20,8/15/20,8/15/20,By week,Illinois,Week-ending,96,"2,106",1.14,143,35,0,204,
9/25/20,8/22/20,8/22/20,By week,Illinois,Week-ending,94,"2,120",1.12,138,40,0,192,
9/25/20,8/29/20,8/29/20,By week,Illinois,Week-ending,123,"2,062",1.09,149,58,0,214,
9/25/20,9/5/20,9/5/20,By week,Illinois,Week-ending,104,"2,099",1.1,138,42,,201,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/12/20,9/12/20,By week,Illinois,Week-ending,78,"1,796",0.91,102,37,0,143,
9/25/20,9/19/20,9/19/20,By week,Illinois,Week-ending,17,"1,090",0.55,57,10,0,64,
9/25/20,2/1/20,2/1/20,By week,Indiana,Week-ending,0,"1,378",1,96,0,,103,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/8/20,2/8/20,By week,Indiana,Week-ending,0,"1,362",0.96,106,0,10,116,
9/25/20,2/15/20,2/15/20,By week,Indiana,Week-ending,0,"1,426",1.06,92,0,,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/22/20,2/22/20,By week,Indiana,Week-ending,0,"1,406",1.02,105,0,13,118,
9/25/20,2/29/20,2/29/20,By week,Indiana,Week-ending,0,"1,447",1.09,105,0,18,123,
9/25/20,3/7/20,3/7/20,By week,Indiana,Week-ending,0,"1,368",1.02,95,0,14,109,
9/25/20,3/14/20,3/14/20,By week,Indiana,Week-ending,0,"1,398",1.03,113,0,15,128,
9/25/20,3/21/20,3/21/20,By week,Indiana,Week-ending,15,"1,325",1,94,,13,114,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,Indiana,Week-ending,51,"1,481",1.11,132,24,14,172,
9/25/20,4/4/20,4/4/20,By week,Indiana,Week-ending,157,"1,578",1.19,219,91,,290,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Indiana,Week-ending,235,"1,626",1.25,238,122,,354,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/18/20,4/18/20,By week,Indiana,Week-ending,272,"1,506",1.2,217,125,0,364,
9/25/20,4/25/20,4/25/20,By week,Indiana,Week-ending,307,"1,591",1.28,228,128,,408,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,Indiana,Week-ending,293,"1,520",1.22,223,115,,405,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/9/20,5/9/20,By week,Indiana,Week-ending,263,"1,572",1.25,179,101,,341,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/16/20,5/16/20,By week,Indiana,Week-ending,255,"1,563",1.3,154,79,,331,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/23/20,5/23/20,By week,Indiana,Week-ending,196,"1,462",1.19,138,64,0,270,
9/25/20,5/30/20,5/30/20,By week,Indiana,Week-ending,145,"1,371",1.17,132,63,0,214,
9/25/20,6/6/20,6/6/20,By week,Indiana,Week-ending,139,"1,384",1.14,123,60,,203,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/13/20,6/13/20,By week,Indiana,Week-ending,125,"1,383",1.15,114,54,0,185,
9/25/20,6/20/20,6/20/20,By week,Indiana,Week-ending,111,"1,342",1.14,113,41,0,183,
9/25/20,6/27/20,6/27/20,By week,Indiana,Week-ending,77,"1,370",1.13,102,20,0,159,
9/25/20,7/4/20,7/4/20,By week,Indiana,Week-ending,63,"1,324",1.1,90,17,0,136,
9/25/20,7/11/20,7/11/20,By week,Indiana,Week-ending,81,"1,330",1.16,103,37,0,147,
9/25/20,7/18/20,7/18/20,By week,Indiana,Week-ending,65,"1,355",1.13,96,24,,138,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/25/20,7/25/20,By week,Indiana,Week-ending,76,"1,289",1.11,100,30,,147,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/1/20,8/1/20,By week,Indiana,Week-ending,76,"1,320",1.12,97,32,0,141,
9/25/20,8/8/20,8/8/20,By week,Indiana,Week-ending,74,"1,289",1.1,105,35,0,144,
9/25/20,8/15/20,8/15/20,By week,Indiana,Week-ending,93,"1,301",1.1,101,35,0,159,
9/25/20,8/22/20,8/22/20,By week,Indiana,Week-ending,91,"1,278",1.1,116,46,0,161,
9/25/20,8/29/20,8/29/20,By week,Indiana,Week-ending,73,"1,249",1.04,91,31,0,133,
9/25/20,9/5/20,9/5/20,By week,Indiana,Week-ending,64,"1,101",0.92,100,38,0,126,
9/25/20,9/12/20,9/12/20,By week,Indiana,Week-ending,61,"1,002",0.83,83,31,0,113,
9/25/20,9/19/20,9/19/20,By week,Indiana,Week-ending,15,632,0.53,40,,0,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/1/20,2/1/20,By week,Iowa,Week-ending,0,615,0.97,54,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/8/20,2/8/20,By week,Iowa,Week-ending,0,637,1.03,42,0,,45,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/15/20,2/15/20,By week,Iowa,Week-ending,0,600,0.93,37,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/22/20,2/22/20,By week,Iowa,Week-ending,0,643,1,42,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/29/20,2/29/20,By week,Iowa,Week-ending,0,642,1.05,36,0,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/7/20,3/7/20,By week,Iowa,Week-ending,0,624,1.04,42,0,13,55,
9/25/20,3/14/20,3/14/20,By week,Iowa,Week-ending,0,634,1.04,51,0,17,68,
9/25/20,3/21/20,3/21/20,By week,Iowa,Week-ending,0,597,0.96,35,0,16,51,
9/25/20,3/28/20,3/28/20,By week,Iowa,Week-ending,,593,1.02,51,0,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/4/20,4/4/20,By week,Iowa,Week-ending,17,608,1.04,58,,,73,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Iowa,Week-ending,22,596,1,41,,,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/18/20,4/18/20,By week,Iowa,Week-ending,36,633,1.09,45,,,75,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,Iowa,Week-ending,52,584,1.01,42,12,0,82,
9/25/20,5/2/20,5/2/20,By week,Iowa,Week-ending,69,671,1.13,45,16,,99,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/9/20,5/9/20,By week,Iowa,Week-ending,91,698,1.26,58,25,0,124,
9/25/20,5/16/20,5/16/20,By week,Iowa,Week-ending,102,672,1.24,62,33,0,131,
9/25/20,5/23/20,5/23/20,By week,Iowa,Week-ending,101,617,1.1,58,35,0,124,
9/25/20,5/30/20,5/30/20,By week,Iowa,Week-ending,91,630,1.18,45,24,0,112,
9/25/20,6/6/20,6/6/20,By week,Iowa,Week-ending,68,596,1.07,49,22,0,95,
9/25/20,6/13/20,6/13/20,By week,Iowa,Week-ending,40,587,1.04,40,16,0,64,
9/25/20,6/20/20,6/20/20,By week,Iowa,Week-ending,32,570,1.05,37,13,0,56,
9/25/20,6/27/20,6/27/20,By week,Iowa,Week-ending,20,545,1,22,,0,37,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/4/20,7/4/20,By week,Iowa,Week-ending,20,589,1.12,27,,0,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/11/20,7/11/20,By week,Iowa,Week-ending,26,555,1,25,,0,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/18/20,7/18/20,By week,Iowa,Week-ending,40,594,1.17,31,12,0,59,
9/25/20,7/25/20,7/25/20,By week,Iowa,Week-ending,44,643,1.18,35,11,0,68,
9/25/20,8/1/20,8/1/20,By week,Iowa,Week-ending,51,627,1.2,47,22,0,76,
9/25/20,8/8/20,8/8/20,By week,Iowa,Week-ending,53,630,1.19,48,14,0,87,
9/25/20,8/15/20,8/15/20,By week,Iowa,Week-ending,55,640,1.24,44,14,0,85,
9/25/20,8/22/20,8/22/20,By week,Iowa,Week-ending,61,590,1.09,47,16,0,92,
9/25/20,8/29/20,8/29/20,By week,Iowa,Week-ending,73,638,1.19,53,27,0,99,
9/25/20,9/5/20,9/5/20,By week,Iowa,Week-ending,52,521,0.96,39,15,0,76,
9/25/20,9/12/20,9/12/20,By week,Iowa,Week-ending,42,473,0.86,38,17,0,63,
9/25/20,9/19/20,9/19/20,By week,Iowa,Week-ending,,283,0.52,,,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/1/20,2/1/20,By week,Kansas,Week-ending,0,547,0.98,36,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/8/20,2/8/20,By week,Kansas,Week-ending,0,503,0.91,27,0,,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/15/20,2/15/20,By week,Kansas,Week-ending,0,574,1,38,0,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/22/20,2/22/20,By week,Kansas,Week-ending,0,559,0.98,37,0,10,47,
9/25/20,2/29/20,2/29/20,By week,Kansas,Week-ending,0,548,1,33,0,14,47,
9/25/20,3/7/20,3/7/20,By week,Kansas,Week-ending,0,574,1.02,43,0,14,57,
9/25/20,3/14/20,3/14/20,By week,Kansas,Week-ending,,522,0.94,47,0,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,Kansas,Week-ending,,514,0.96,27,0,15,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,Kansas,Week-ending,,520,1,42,,,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/4/20,4/4/20,By week,Kansas,Week-ending,21,547,1.09,43,,0,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Kansas,Week-ending,35,525,1.03,57,14,,79,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
